sigma,upsilon,k,id,t,x1,x2,x3
4.0,1.0,4.0,1.0,0.1,0.39190178955482313,0.7508504878420347,0.05327544562991184
4.0,1.0,4.0,1.0,0.10549763580417751,0.39089357601375196,0.7513712878170872,0.05371557694625091
4.0,1.0,4.0,1.0,0.1112975116027088,0.3898269981239181,0.751893693794774,0.054176764370655175
4.0,1.0,4.0,1.0,0.11741624344973793,0.3886986310699475,0.7524158530184576,0.05465983519232681
4.0,1.0,4.0,1.0,0.12387136088955099,0.3875048577147712,0.7529357791705211,0.055165628973033405
4.0,1.0,4.0,1.0,0.13068135717693688,0.38624186118013437,0.7534513726593451,0.055694995146090776
4.0,1.0,4.0,1.0,0.13786574225848125,0.3849056180185063,0.7539604502305458,0.05624879024425201
4.0,1.0,4.0,1.0,0.14544509866657865,0.38349189223720703,0.7544607861453952,0.0568278747257323
4.0,1.0,4.0,1.0,0.1534411404862938,0.38199623049661163,0.7549501676081105,0.0574331093671017
4.0,1.0,4.0,1.0,0.1618767755640066,0.3804139588778104,0.7554264676383935,0.05806535119167231
4.0,1.0,4.0,1.0,0.17077617113606153,0.3787401817035206,0.7558877391879238,0.05872544890238115
4.0,1.0,4.0,1.0,0.1801648230654411,0.37696978300225864,0.7563323350026823,0.0594142377891219
4.0,1.0,4.0,1.0,0.1900696288848199,0.37509743133324475,0.7567590585518799,0.06013253408211093
4.0,1.0,4.0,1.0,0.20051896485525908,0.3731175888423378,0.7571673522955014,0.060881128725293394
4.0,1.0,4.0,1.0,0.21154276726130794,0.3710245256023929,0.757557530664477,0.06166078054711212
4.0,1.0,4.0,1.0,0.22317261817541356,0.36881233411049325,0.7579311002169504,0.06247220974733598
4.0,1.0,4.0,1.0,0.23544183593734544,0.3664746968361554,0.7582892963225567,0.06331611867544708
4.0,1.0,4.0,1.0,0.24838557060784988,0.3640047790060146,0.7586289087274986,0.06419318749055122
4.0,1.0,4.0,1.0,0.26204090466999763,0.36139547871040373,0.758945980853296,0.06510404593273714
4.0,1.0,4.0,1.0,0.27644695926672613,0.3586394641291288,0.7592367460508583,0.06604926605575105
4.0,1.0,4.0,1.0,0.29164500627893375,0.3557292125852825,0.7594979314361539,0.06702935362099968
4.0,1.0,4.0,1.0,0.3076785865652201,0.3526570655678831,0.7597271829812611,0.06804473869922725
4.0,1.0,4.0,1.0,0.324593634702017,0.3494153040630541,0.7599236495361941,0.06909576531433452
4.0,1.0,4.0,1.0,0.34243861058147634,0.3459962496158832,0.7600887739889276,0.07018267989320184
4.0,1.0,4.0,1.0,0.3612646382441316,0.3423923978902899,0.7602273530866496,0.07130561818780926
4.0,1.0,4.0,1.0,0.38112565234407336,0.33859659316532387,0.760348944251985,0.07246459020264621
4.0,1.0,4.0,1.0,0.40207855266624626,0.33460216002231863,0.7604685600463192,0.07365947249088824
4.0,1.0,4.0,1.0,0.4241833671385446,0.33040149069112,0.7605855749450664,0.07489015056430119
4.0,1.0,4.0,1.0,0.447503423805719,0.3259870325384732,0.7606907424053888,0.07615640294949122
4.0,1.0,4.0,1.0,0.47210553225778246,0.3213520129599837,0.7607770014638531,0.07745786665417925
4.0,1.0,4.0,1.0,0.4980601750326892,0.31649051290808483,0.7608386827258922,0.07879405501389744
4.0,1.0,4.0,1.0,0.5254417095416356,0.3113977996013535,0.7608730003489025,0.08016435021607847
4.0,1.0,4.0,1.0,0.554328581095479,0.3060707430512975,0.7608821832657767,0.08156799331606328
4.0,1.0,4.0,1.0,0.5848035476425733,0.30050833601785554,0.7608764572912465,0.08300407007695276
4.0,1.0,4.0,1.0,0.6169539168618717,0.29471234153408654,0.7608781516920355,0.08447149025069768
4.0,1.0,4.0,1.0,0.6508717962905456,0.28868702314380623,0.7609110270131333,0.08596905350161353
4.0,1.0,4.0,1.0,0.686654357202708,0.2824370125970262,0.7609531179278592,0.0874956403504947
4.0,1.0,4.0,1.0,0.7244041129952291,0.2759712504027286,0.7609896326686626,0.0890499157793303
4.0,1.0,4.0,1.0,0.7642292128781893,0.2693027087884008,0.7610091400238439,0.09063046026545653
4.0,1.0,4.0,1.0,0.8062437517113648,0.2624489373986495,0.761005222464588,0.09223578366753966
4.0,1.0,4.0,1.0,0.8505680968743928,0.2554327566743635,0.7609806630527723,0.09386432062081371
4.0,1.0,4.0,1.0,0.8973292331070708,0.24828299737349,0.7609533692790669,0.09551441082740562
4.0,1.0,4.0,1.0,0.9466611263077167,0.2410352417318644,0.7609643192326662,0.09718426202554406
4.0,1.0,4.0,1.0,0.9987051073318399,0.23372944162370188,0.7610388249932886,0.0988722172871733
4.0,1.0,4.0,1.0,1.0536102768906648,0.22640795836389885,0.7611263451894424,0.10057655070285407
4.0,1.0,4.0,1.0,1.1115339327094997,0.21911870851129023,0.7611734303698726,0.1022954623918148
4.0,1.0,4.0,1.0,1.1726420201697196,0.21191483592822427,0.7611445739416228,0.10402721319261093
4.0,1.0,4.0,1.0,1.237109607725401,0.20485387230171584,0.761038999367995,0.10577009124562056
4.0,1.0,4.0,1.0,1.3051213884566326,0.1979962593088541,0.7609145825644388,0.10752233064122997
4.0,1.0,4.0,1.0,1.3768722091964032,0.19140309517216492,0.7609285699311436,0.10928196879895337
4.0,1.0,4.0,1.0,1.4525676287469547,0.18513427262608362,0.7615521678439856,0.11104732208718435
4.0,1.0,4.0,1.0,1.5324245067848397,0.17922783990271454,0.7622037585209127,0.11281630933204162
4.0,1.0,4.0,1.0,1.6166716251418338,0.17371506798614933,0.762073198624104,0.1145865815354993
4.0,1.0,4.0,1.0,1.7055503432416097,0.16862987865203352,0.7609190568728716,0.11635594019024102
4.0,1.0,4.0,1.0,1.7993152895699331,0.16401179982737818,0.7594939351897488,0.11812227866772232
4.0,1.0,4.0,1.0,1.8982350911593702,0.15990674805321597,0.7599242191949646,0.11988347875528761
4.0,1.0,4.0,1.0,2.0025931431784096,0.1562872119486128,0.7609065853845111,0.12163665059046251
4.0,1.0,4.0,1.0,2.11268842082979,0.15311193576165102,0.760362393744534,0.12337754404329909
4.0,1.0,4.0,1.0,2.2288363358840413,0.15039780797911778,0.7605463114958422,0.1251044434747389
4.0,1.0,4.0,1.0,2.3513696403021203,0.14810369603885823,0.7606748652731613,0.1268131733394687
4.0,1.0,4.0,1.0,2.48063937953593,0.14618923461033526,0.7603191246759475,0.12849957392681852
4.0,1.0,4.0,1.0,2.6170158982378244,0.14462885487732463,0.7606394119517969,0.13016122032229874
4.0,1.0,4.0,1.0,2.760889901260365,0.14336479730082782,0.7602328080203297,0.13179208600275943
4.0,1.0,4.0,1.0,2.9126735729859763,0.14236865508469307,0.7603504665498984,0.13339013975928501
4.0,1.0,4.0,1.0,3.07280175819327,0.14159298899095496,0.7604715326987189,0.13495030902342797
4.0,1.0,4.0,1.0,3.2417332078430996,0.14098816135659245,0.7594552741329395,0.13646633270583094
4.0,1.0,4.0,1.0,3.419951893353394,0.14055730513139336,0.7609179045783668,0.13794167836718385
4.0,1.0,4.0,1.0,3.6079683931280377,0.14020323508507682,0.7586511963605679,0.13935896204758894
4.0,1.0,4.0,1.0,3.8063213553120527,0.13998581193592757,0.7606436564886687,0.14073295403452166
4.0,1.0,4.0,1.0,4.015579040963743,0.1397907659811909,0.75834638568361,0.14203967165387174
4.0,1.0,4.0,1.0,4.236340952064815,0.13968394445534066,0.7595038240918571,0.14329561517638256
4.0,1.0,4.0,1.0,4.469239549032564,0.13960210904913403,0.7595501513279329,0.14448655320540257
4.0,1.0,4.0,1.0,4.714942062654641,0.13954165606197957,0.7591827606829298,0.14561178317406104
4.0,1.0,4.0,1.0,4.974152405637368,0.13950168035539035,0.7590331574782242,0.1466714107216739
4.0,1.0,4.0,1.0,5.247613189244046,0.13948088566592812,0.7595140236349123,0.14766551492453664
4.0,1.0,4.0,1.0,5.5361078508006685,0.139462957436568,0.759531920606587,0.1485898451745666
4.0,1.0,4.0,1.0,5.840462898164168,0.13943545661455556,0.7581943857472424,0.14944097452824442
4.0,1.0,4.0,1.0,6.161550277583347,0.13942362866059457,0.7580016774599586,0.15022728737667002
4.0,1.0,4.0,1.0,6.500289871736168,0.1394201757811544,0.7583544157642358,0.1509478764382868
4.0,1.0,4.0,1.0,6.85765213510006,0.13941553738412615,0.7584522797284431,0.1516012906806083
4.0,1.0,4.0,1.0,7.234660874205266,0.13941064372480283,0.7584338377907992,0.15218973840564745
4.0,1.0,4.0,1.0,7.6323961807363965,0.13940480481311185,0.7582667403897044,0.15271532481316108
4.0,1.0,4.0,1.0,8.051997525885238,0.13939870367464538,0.7580237594634057,0.15318101495099862
4.0,1.0,4.0,1.0,8.494667024819794,0.139400884228165,0.7584847942546541,0.15359284226974534
4.0,1.0,4.0,1.0,8.961672880621947,0.13940373910963383,0.7589800198128724,0.15395180696359376
4.0,1.0,4.0,1.0,9.454353017560289,0.13939351772673012,0.7582676119752713,0.15425702631800295
4.0,1.0,4.0,1.0,9.974118914107018,0.13939783219369595,0.758808530140163,0.15452196195195367
4.0,1.0,4.0,1.0,10.522459646680211,0.13939586277160262,0.758789550005468,0.1547435963927875
4.0,1.0,4.0,1.0,11.100946155696231,0.13939127402523904,0.7584800256907621,0.15492736698254486
4.0,1.0,4.0,1.0,11.711235746154255,0.1393858242950052,0.7581009090802006,0.15507814914258075
4.0,1.0,4.0,1.0,12.355076835646466,0.13939304967807908,0.7588182969555272,0.1552048103403167
4.0,1.0,4.0,1.0,13.034313963396608,0.13939489646216718,0.7590446345319039,0.15530494896882285
4.0,1.0,4.0,1.0,13.750893074677217,0.13939167036370026,0.7588016558364613,0.15538234414983432
4.0,1.0,4.0,1.0,14.506867095744838,0.13939287236515135,0.7589466985533221,0.15544385221039692
4.0,1.0,4.0,1.0,15.304401815264951,0.13939368304575098,0.759055396980688,0.15549085242168645
4.0,1.0,4.0,1.0,16.14578208907615,0.13938549741267847,0.7583507706913865,0.15552302705444024
4.0,1.0,4.0,1.0,17.03341838606968,0.13938494202260704,0.7583052572297655,0.15554871885485186
4.0,1.0,4.0,1.0,17.969853693937612,0.13938982394919458,0.7587636632689784,0.1555691651276639
4.0,1.0,4.0,1.0,18.95777080457384,0.13938976253880886,0.758755600067895,0.15558239707398572
4.0,1.0,4.0,1.0,20.000000000000004,0.13938074739094958,0.7579591995358308,0.1555884050371516
4.0,1.0,4.0,2.0,0.1,0.27155835499234515,0.8183216067152693,0.20708631850506945
4.0,1.0,4.0,2.0,0.10549763580417751,0.2704349478430944,0.8151005140434597,0.20691778231159502
4.0,1.0,4.0,2.0,0.1112975116027088,0.2692636785474822,0.8118953320404134,0.20674218178174056
4.0,1.0,4.0,2.0,0.11741624344973793,0.26804281395292995,0.808710753918907,0.20655926560910326
4.0,1.0,4.0,2.0,0.12387136088955099,0.2667705107899874,0.8055510722697715,0.20636876456341263
4.0,1.0,4.0,2.0,0.13068135717693688,0.2654450794520426,0.8024273478037428,0.20617043268233554
4.0,1.0,4.0,2.0,0.13786574225848125,0.26406482859591723,0.7993517338432475,0.20596402223418306
4.0,1.0,4.0,2.0,0.14544509866657865,0.2626280262942749,0.7963361780864018,0.20574927692405973
4.0,1.0,4.0,2.0,0.1534411404862938,0.26113289589221794,0.7933920388424515,0.20552593036750016
4.0,1.0,4.0,2.0,0.1618767755640066,0.2595776117825058,0.7905296091928135,0.2052937043375561
4.0,1.0,4.0,2.0,0.17077617113606153,0.2579602955867255,0.7877575354470363,0.20505230681474557
4.0,1.0,4.0,2.0,0.1801648230654411,0.25627901349325544,0.7850821155198284,0.2048014299005351
4.0,1.0,4.0,2.0,0.1900696288848199,0.2545317758626391,0.7825064624971017,0.2045407476992242
4.0,1.0,4.0,2.0,0.20051896485525908,0.2527165406967514,0.7800295188900306,0.20426991433443972
4.0,1.0,4.0,2.0,0.21154276726130794,0.2508312232179946,0.7776449081707144,0.2039885623503264
4.0,1.0,4.0,2.0,0.22317261817541356,0.24887372625025098,0.7753406722986299,0.20369630365773478
4.0,1.0,4.0,2.0,0.23544183593734544,0.24684240666145552,0.773130090138468,0.20339280118671862
4.0,1.0,4.0,2.0,0.24838557060784988,0.2447360209861213,0.7710330938838862,0.2030777635913882
4.0,1.0,4.0,2.0,0.26204090466999763,0.24255339062933284,0.7690617774481809,0.20275088313943784
